Indiana,1816-12-11T00:00:00Z,IN,Indianapolis,Point(-86.216666666 39.933333333),Eric Holcomb,94321,2--772,America/New York,http://www.in.gov,
Illinois,1818-12-03T00:00:00Z,IL,Springfield,Point(-89.0 40.0),Bruce Rauner,149998,2--773,America/Chicago,http://www.illinois.gov,
Idaho,1890-07-03T00:00:00Z,ID,Boise,Point(-114.0 45.0),Butch Otter,216699,2--796,America/Denver,http://www.idaho.gov/,
Georgia,1788-01-02T00:00:00Z,GA,Atlanta,Point(-83.5 33.0),Nathan Deal,153909,2--757,America/New York,http://www.georgia.gov/,George II of Great Britain
Florida,1845-03-03T00:00:00Z,FL,Tallahassee,Point(-81.631666666 28.133333333),Rick Scott,170304,2--759,America/New York,http://www.myflorida.com,
Delaware,1787-12-07T00:00:00Z,DE,Dover,Point(-75.5 39.0),Jack Markell,6452,2--751,America/New York,http://delaware.gov,Delaware River
Delaware,1787-12-07T00:00:00Z,Del.,Dover,Point(-75.5 39.0),Jack Markell,6452,2--751,America/New York,http://delaware.gov,Delaware River
Connecticut,1788-01-09T00:00:00Z,CT,Hartford,Point(-72.7 41.6),Dannel Malloy,14357,2--746,America/New York,http://www.ct.gov,
Colorado,1876-08-01T00:00:00Z,CO,Denver,Point(-105.5 39.0),John Hickenlooper,269837,2--788,America/Denver,https://www.colorado.gov/,Colorado River
California,1850-09-09T00:00:00Z,CA,Sacramento,Point(-120.0 37.0),Jerry Brown,423970,2--794,America/Los Angeles,http://www.ca.gov/,
Arkansas,1836-06-15T00:00:00Z,AR,Little Rock,Point(-92.2 34.8),Asa Hutchinson,137733,2--767,America/Chicago,http://www.arkansas.gov,
Arizona,1912-02-14T00:00:00Z,AZ,Phoenix,Point(-111.656944 34.286667),Doug Ducey,295234,2--791,America/Phoenix,http://www.az.gov,
Alaska,1959-01-03T00:00:00Z,AK,Juneau,Point(-150.0 64.0),Bill Walker,1717856,2--798,America/Anchorage,http://www.alaska.gov,
Alabama,1819-12-14T00:00:00Z,AL,Montgomery,Point(-86.7 32.7),Kay Ivey,135765,2--761,America/Chicago,http://www.alabama.gov,Alabama people
